assay,n,global_composition_spearman,surface_composition_spearman,real_topology_spearman,scrambled_topology_spearman_mean,scrambled_topology_spearman_sd,label_shuffle_spearman_mean,label_shuffle_spearman_sd,delta_real_minus_surface,delta_real_minus_scrambled,verdict
HIC,242,0.48631157926596474,0.5380369209389163,0.5347248158970178,0.4954265943142968,0.026855713093319925,-0.041086555082743524,0.06929929988989023,-0.0033121050418984943,0.039298221582721005,FAIL
SMAC,242,0.3902535850911027,0.47868897161000046,0.49725546866573717,0.42297374928203235,0.025192545525401528,-0.030575997252158614,0.06396883774663825,0.018566497055736708,0.07428171938370481,WEAK PASS
AC-SINS_pH6.0,242,0.1389081761794032,0.12609123850780152,0.1107443841843593,0.08837157370713963,0.03938392718271233,-0.03572250735080839,0.06995597886410462,-0.01534685432344221,0.022372810477219673,FAIL
AC-SINS_pH7.4,242,0.361355686738092,0.3619472073531379,0.31724824110620076,0.2643572213517712,0.03890637403713737,-0.02894809494039403,0.06963580222949506,-0.044698966246937144,0.05289101975442956,WEAK PASS
PR_CHO,197,0.44630779082054683,0.1530397656358972,-0.0840594161007606,-0.04223243710475022,0.07910447516266965,-0.05959517094134086,0.1048379566532131,-0.23709918173665778,-0.041826978996010386,FAIL
PR_Ova,197,0.5781835451145471,0.28736336837680676,0.23322345360999658,0.14536098425874405,0.05844536928938323,-0.049218806791199964,0.10583655498892093,-0.05413991476681018,0.08786246935125253,WEAK PASS
HAC,94,0.7099481250529519,0.6068919184344072,0.5739820898832491,0.5153143056867993,0.053675734412046844,-0.10533486033066639,0.14629485434323655,-0.03290982855115809,0.0586677841964498,WEAK PASS; LOW-N CAUTION
