assay,feature_set,model,internal_n,internal_spearman,internal_pearson,internal_r2,internal_worst_20_recall,internal_worst_20_auroc,external_n,external_spearman,external_pearson,external_r2,external_worst_20_recall,external_worst_20_auroc,spearman_delta_external_minus_internal,worst20_auroc_delta_external_minus_internal,verdict
AC-SINS_pH7.4,global_composition,ridge,244,0.33096095823482347,0.3383257823552192,0.10304923640139829,0.3673469387755102,0.7116692830978545,80,0.1276533774786325,0.19524122895155382,-0.05580265191736289,0.375,0.619140625,-0.20330758075619096,-0.09252865809785449,EXTERNAL TRIAGE FAIL
HIC,global_composition,ridge,244,0.46796449020423025,0.4359464746179037,0.18846120256872545,0.42857142857142855,0.760858189429618,79,0.4909709526411298,0.33805947770007,0.0640030184268009,0.5625,0.7599206349206349,0.023006462436899522,-0.0009375545089831405,EXTERNAL TRIAGE HOLDS
PR_CHO,global_composition,hist_gradient_boosting,197,0.5170377344100825,0.5121716101640417,0.2512714343713782,0.4,0.7313694267515923,80,0.280533423061085,0.290693481769892,-0.5334624835466182,0.3125,0.625,-0.23650431134899752,-0.10636942675159233,EXTERNAL TRIAGE FAIL
Titer,global_composition,ridge,239,0.20794297762460545,0.24462444309427986,0.05973435074285027,0.25,0.5799520069808027,80,0.001734646038443507,-0.008681231472795087,-1.45050521808351,0.0625,0.3935546875,-0.20620833158616195,-0.18639731948080274,EXTERNAL TRIAGE FAIL
Tm2,global_composition,hist_gradient_boosting,208,-0.20192535290408073,-0.1937135413409715,-0.39032622600102207,0.11904761904761904,0.42871485943775095,74,0.015461169363700112,0.06748383320118392,-0.11456524870178919,0.3333333333333333,0.5536723163841808,0.21738652226778085,0.12495745694642985,EXTERNAL TRIAGE FAIL
